name,position,pitching_and_batting,height_and_weight,birthday,career,draft,team_2010,match_2010,plate_appearance_2010,at_bat_2010,run_2010,hit_2010,two_hit_2010,three_hit_2010,homerun_2010,total_base_2010,rbi_2010,steal_2010,steal_death_2010,sacrifice_bunt_2010,sacrifice_fly_2010,four_balls_2010,dead_ball_2010,strikeout_2010,double_play_2010,batting_ave_2010,slugging_ave_2010,on_base_ave_2010,pitching_appearance_2010,win_2010,lose_2010,save_2010,hold_2010,hold_point_2010,complete_game_2010,shutout_2010,no_four_balls_2010,win_rate_2010,batter_2010,time_2010,give_up_hit_2010,give_up_home_run_2010,give_four_balls_2010,give_dead_ball_2010,get_strikeout_2010,wild_pitch_2010,boke_2010,give_run_2010,give_responsible_run_2010,earned_run_ave_2010,team_2011,match_2011,plate_appearance_2011,at_bat_2011,run_2011,hit_2011,two_hit_2011,three_hit_2011,homerun_2011,total_base_2011,rbi_2011,steal_2011,steal_death_2011,sacrifice_bunt_2011,sacrifice_fly_2011,four_balls_2011,dead_ball_2011,strikeout_2011,double_play_2011,batting_ave_2011,slugging_ave_2011,on_base_ave_2011,pitching_appearance_2011,win_2011,lose_2011,save_2011,hold_2011,hold_point_2011,complete_game_2011,shutout_2011,no_four_balls_2011,win_rate_2011,batter_2011,time_2011,give_up_hit_2011,give_up_home_run_2011,give_four_balls_2011,give_dead_ball_2011,get_strikeout_2011,wild_pitch_2011,boke_2011,give_run_2011,give_responsible_run_2011,earned_run_ave_2011,team_2012,match_2012,plate_appearance_2012,at_bat_2012,run_2012,hit_2012,two_hit_2012,three_hit_2012,homerun_2012,total_base_2012,rbi_2012,steal_2012,steal_death_2012,sacrifice_bunt_2012,sacrifice_fly_2012,four_balls_2012,dead_ball_2012,strikeout_2012,double_play_2012,batting_ave_2012,slugging_ave_2012,on_base_ave_2012,pitching_appearance_2012,win_2012,lose_2012,save_2012,hold_2012,hold_point_2012,complete_game_2012,shutout_2012,no_four_balls_2012,win_rate_2012,batter_2012,time_2012,give_up_hit_2012,give_up_home_run_2012,give_four_balls_2012,give_dead_ball_2012,get_strikeout_2012,wild_pitch_2012,boke_2012,give_run_2012,give_responsible_run_2012,earned_run_ave_2012,team_2013,match_2013,plate_appearance_2013,at_bat_2013,run_2013,hit_2013,two_hit_2013,three_hit_2013,homerun_2013,total_base_2013,rbi_2013,steal_2013,steal_death_2013,sacrifice_bunt_2013,sacrifice_fly_2013,four_balls_2013,dead_ball_2013,strikeout_2013,double_play_2013,batting_ave_2013,slugging_ave_2013,on_base_ave_2013,pitching_appearance_2013,win_2013,lose_2013,save_2013,hold_2013,hold_point_2013,complete_game_2013,shutout_2013,no_four_balls_2013,win_rate_2013,batter_2013,time_2013,give_up_hit_2013,give_up_home_run_2013,give_four_balls_2013,give_dead_ball_2013,get_strikeout_2013,wild_pitch_2013,boke_2013,give_run_2013,give_responsible_run_2013,earned_run_ave_2013,team_2014,match_2014,plate_appearance_2014,at_bat_2014,run_2014,hit_2014,two_hit_2014,three_hit_2014,homerun_2014,total_base_2014,rbi_2014,steal_2014,steal_death_2014,sacrifice_bunt_2014,sacrifice_fly_2014,four_balls_2014,dead_ball_2014,strikeout_2014,double_play_2014,batting_ave_2014,slugging_ave_2014,on_base_ave_2014,pitching_appearance_2014,win_2014,lose_2014,save_2014,hold_2014,hold_point_2014,complete_game_2014,shutout_2014,no_four_balls_2014,win_rate_2014,batter_2014,time_2014,give_up_hit_2014,give_up_home_run_2014,give_four_balls_2014,give_dead_ball_2014,get_strikeout_2014,wild_pitch_2014,boke_2014,give_run_2014,give_responsible_run_2014,earned_run_ave_2014,team_2015,match_2015,plate_appearance_2015,at_bat_2015,run_2015,hit_2015,two_hit_2015,three_hit_2015,homerun_2015,total_base_2015,rbi_2015,steal_2015,steal_death_2015,sacrifice_bunt_2015,sacrifice_fly_2015,four_balls_2015,dead_ball_2015,strikeout_2015,double_play_2015,batting_ave_2015,slugging_ave_2015,on_base_ave_2015,pitching_appearance_2015,win_2015,lose_2015,save_2015,hold_2015,hold_point_2015,complete_game_2015,shutout_2015,no_four_balls_2015,win_rate_2015,batter_2015,time_2015,give_up_hit_2015,give_up_home_run_2015,give_four_balls_2015,give_dead_ball_2015,get_strikeout_2015,wild_pitch_2015,boke_2015,give_run_2015,give_responsible_run_2015,earned_run_ave_2015,team_2016,match_2016,plate_appearance_2016,at_bat_2016,run_2016,hit_2016,two_hit_2016,three_hit_2016,homerun_2016,total_base_2016,rbi_2016,steal_2016,steal_death_2016,sacrifice_bunt_2016,sacrifice_fly_2016,four_balls_2016,dead_ball_2016,strikeout_2016,double_play_2016,batting_ave_2016,slugging_ave_2016,on_base_ave_2016,pitching_appearance_2016,win_2016,lose_2016,save_2016,hold_2016,hold_point_2016,complete_game_2016,shutout_2016,no_four_balls_2016,win_rate_2016,batter_2016,time_2016,give_up_hit_2016,give_up_home_run_2016,give_four_balls_2016,give_dead_ball_2016,get_strikeout_2016,wild_pitch_2016,boke_2016,give_run_2016,give_responsible_run_2016,earned_run_ave_2016,team_2017,match_2017,plate_appearance_2017,at_bat_2017,run_2017,hit_2017,two_hit_2017,three_hit_2017,homerun_2017,total_base_2017,rbi_2017,steal_2017,steal_death_2017,sacrifice_bunt_2017,sacrifice_fly_2017,four_balls_2017,dead_ball_2017,strikeout_2017,double_play_2017,batting_ave_2017,slugging_ave_2017,on_base_ave_2017,pitching_appearance_2017,win_2017,lose_2017,save_2017,hold_2017,hold_point_2017,complete_game_2017,shutout_2017,no_four_balls_2017,win_rate_2017,batter_2017,time_2017,give_up_hit_2017,give_up_home_run_2017,give_four_balls_2017,give_dead_ball_2017,get_strikeout_2017,wild_pitch_2017,boke_2017,give_run_2017,give_responsible_run_2017,earned_run_ave_2017,team_2018,match_2018,plate_appearance_2018,at_bat_2018,run_2018,hit_2018,two_hit_2018,three_hit_2018,homerun_2018,total_base_2018,rbi_2018,steal_2018,steal_death_2018,sacrifice_bunt_2018,sacrifice_fly_2018,four_balls_2018,dead_ball_2018,strikeout_2018,double_play_2018,batting_ave_2018,slugging_ave_2018,on_base_ave_2018,pitching_appearance_2018,win_2018,lose_2018,save_2018,hold_2018,hold_point_2018,complete_game_2018,shutout_2018,no_four_balls_2018,win_rate_2018,batter_2018,time_2018,give_up_hit_2018,give_up_home_run_2018,give_four_balls_2018,give_dead_ball_2018,get_strikeout_2018,wild_pitch_2018,boke_2018,give_run_2018,give_responsible_run_2018,earned_run_ave_2018,team_2019,match_2019,plate_appearance_2019,at_bat_2019,run_2019,hit_2019,two_hit_2019,three_hit_2019,homerun_2019,total_base_2019,rbi_2019,steal_2019,steal_death_2019,sacrifice_bunt_2019,sacrifice_fly_2019,four_balls_2019,dead_ball_2019,strikeout_2019,double_play_2019,batting_ave_2019,slugging_ave_2019,on_base_ave_2019,pitching_appearance_2019,win_2019,lose_2019,save_2019,hold_2019,hold_point_2019,complete_game_2019,shutout_2019,no_four_balls_2019,win_rate_2019,batter_2019,time_2019,give_up_hit_2019,give_up_home_run_2019,give_four_balls_2019,give_dead_ball_2019,get_strikeout_2019,wild_pitch_2019,boke_2019,give_run_2019,give_responsible_run_2019,earned_run_ave_2019
荒西　祐大,投手,右投右打,178cm／83kg,1992年8月25日,玉名工-ホンダ熊本,2018年ドラフト3位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,オリックス,13,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,13,1,4,0,0,0,0,0,0,.200,221,51.2,55,6,18,2,42,1,0,32,32,5.57
Ｒ．クック,投手,右投右打,188cm／100kg,1987年6月30日,サザンカリフォルニア大-ダイヤモンドバックス-アスレチックス-レッドソックス-マリナーズ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,読売,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,13,0,2,6,0,0,0,0,0,.000,67,15,19,2,6,0,9,2,0,8,8,4.80
馬場　皐輔,投手,右投右打,180cm／90kg,1995年5月18日,仙台育英高-仙台大,2017年ドラフト1位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,阪神,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,2,0,1,0,0,0,0,0,0,.000,41,8.2,12,2,4,1,7,0,0,5,5,5.19,阪神,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,2,0,0,0,0,0,0,0,0,.000,17,3.1,7,3,1,0,4,0,1,4,4,10.80
髙濱　卓也,内野手,右投左打,184cm／84kg,1989年7月6日,横浜高,2007年高校生ドラフト1巡目,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,千葉ロッテ,19,56,48,4,10,1,0,0,11,0,0,0,7,0,1,0,21,0,.208,.229,.224,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,千葉ロッテ,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,千葉ロッテ,6,14,14,1,3,0,0,0,3,0,0,0,0,0,0,0,2,1,.214,.214,.214,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,千葉ロッテ,36,78,69,12,16,1,3,0,23,7,0,1,3,0,6,0,11,1,.232,.333,.293,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,千葉ロッテ,33,45,42,5,12,2,0,0,14,4,0,0,2,0,1,0,11,0,.286,.333,.302,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,千葉ロッテ,53,158,144,19,31,6,0,3,46,13,0,0,6,0,8,0,30,2,.215,.319,.257,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,千葉ロッテ,28,38,35,1,6,2,0,0,8,1,0,0,0,0,3,0,6,4,.171,.229,.237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,千葉ロッテ,10,12,12,0,3,0,0,0,3,0,0,0,0,0,0,0,2,0,.250,.250,.250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,千葉ロッテ,8,7,7,0,2,2,0,0,4,3,0,0,0,0,0,0,3,0,.286,.571,.286,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
森岡　良介,-,右投左打,174cm／71kg,1984年7月15日,明徳義塾高,2002年ドラフト1巡目,東京ヤクルト,21,56,43,6,11,3,0,0,14,5,0,0,8,0,4,1,8,0,.256,.326,.333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,東京ヤクルト,52,97,86,6,22,2,0,0,24,6,0,0,2,0,8,1,20,1,.256,.279,.326,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,東京ヤクルト,100,282,245,19,61,8,3,1,78,18,1,1,19,2,11,5,44,1,.249,.318,.293,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,東京ヤクルト,109,347,295,28,73,10,1,1,88,21,0,0,11,2,36,3,61,5,.247,.298,.333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,東京ヤクルト,100,326,301,26,83,16,2,2,109,31,1,0,5,2,15,3,39,7,.276,.362,.315,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,東京ヤクルト,75,125,112,10,21,2,1,1,28,9,1,1,3,1,8,1,22,6,.188,.250,.246,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,東京ヤクルト,26,33,31,1,2,1,0,0,3,3,0,0,0,1,1,0,8,2,.065,.097,.091,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
松井　佑介,外野手,右投右打,185cm／87kg,1987年7月10日,大商大堺高-東京農業大,2009年ドラフト4位,中日,35,56,55,2,16,2,0,0,18,3,0,0,0,0,1,0,15,1,.291,.327,.304,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,中日,4,8,8,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,.125,.125,.125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,中日,42,67,65,5,15,4,0,1,22,6,0,1,2,0,0,0,13,0,.231,.338,.231,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,中日,43,91,81,7,14,3,0,1,20,11,0,0,5,2,2,1,16,3,.173,.247,.198,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,中日,52,102,96,11,24,7,0,2,37,6,1,0,2,0,2,2,27,3,.250,.385,.280,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,中日,30,32,31,0,6,0,0,0,6,0,0,0,1,0,0,0,6,0,.194,.194,.194,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,中日,14,21,21,1,4,2,0,0,6,0,0,0,0,0,0,0,8,0,.190,.286,.190,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,中日,56,129,119,17,33,7,0,4,52,18,0,0,1,0,6,3,38,2,.277,.437,.328,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,中日,17,22,22,2,3,0,0,0,3,0,0,0,0,0,0,0,12,0,.136,.136,.136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,オリックス,7,18,18,2,6,1,0,1,10,1,0,0,0,0,0,0,3,1,.333,.556,.333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
髙城　俊人,捕手,右投右打,176cm／86kg,1993年5月3日,九州国際大付高,2011年ドラフト2位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,横浜DeNA,45,122,106,6,18,3,0,0,21,0,0,0,4,0,5,7,33,6,.170,.198,.254,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,横浜DeNA,51,124,110,6,15,4,0,0,19,4,0,0,7,0,6,1,42,2,.136,.173,.188,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,横浜DeNA,48,76,69,8,10,1,1,0,13,4,0,0,0,0,5,2,28,0,.145,.188,.224,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,横浜DeNA,64,148,129,9,26,7,0,1,36,9,0,0,7,0,8,4,32,6,.202,.279,.270,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,横浜DeNA,47,103,92,4,15,2,0,0,17,9,0,0,2,0,8,1,31,3,.163,.185,.238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,横浜DeNA,29,61,56,11,14,0,3,0,20,4,0,1,2,0,3,0,15,1,.250,.357,.288,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,横浜DeNA,28,75,66,7,9,1,0,0,10,3,2,0,4,1,2,2,25,1,.136,.152,.183,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,オリックス,5,12,11,1,2,0,0,0,2,0,0,0,0,0,1,0,4,0,.182,.182,.250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安田　尚憲,内野手,右投左打,188cm／95kg,1999年4月15日,履正社高,2017年ドラフト1位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,千葉ロッテ,17,60,53,3,8,3,0,1,14,7,0,0,0,0,7,0,20,0,.151,.264,.250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
フェルナンド,外野手,右投右打,175cm／79kg,1992年4月13日,桐生第一高-白鴎大,2014年ドラフト4位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,東北楽天,39,84,78,3,15,2,0,1,20,7,0,0,0,0,6,0,25,4,.192,.256,.250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,東北楽天,4,11,11,1,2,1,0,0,3,0,0,0,0,0,0,0,3,1,.182,.273,.182,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,東北楽天,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,東北楽天,11,16,16,2,3,0,0,0,3,0,0,0,0,0,0,0,5,0,.188,.188,.188,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,東北楽天,16,39,34,1,8,1,0,0,9,7,0,0,1,1,2,1,10,1,.235,.265,.289,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
上本　崇司,内野手,右投両打,170cm／71kg,1990年8月22日,広陵高-明治大,2012年ドラフト3位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島東洋,30,30,26,4,2,1,0,0,3,2,0,0,2,0,1,1,5,1,.077,.115,.143,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島東洋,18,8,7,3,2,0,0,0,2,0,0,0,0,0,1,0,2,0,.286,.286,.375,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島東洋,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島東洋,37,10,8,12,1,0,0,0,1,0,3,0,0,0,2,0,3,0,.125,.125,.300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島東洋,59,13,11,8,1,0,0,0,1,0,6,2,1,0,1,0,4,0,.091,.091,.167,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島東洋,31,22,21,5,3,0,0,0,3,0,0,1,1,0,0,0,5,1,.143,.143,.143,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
